cp_id,prodotto_clanpesca,marca,categoria,prezzo_clanpesca_eur,sito_concorrente,livello_match,prezzo_concorrente_eur,disponibilita,delta_pct,url,data_rilevazione
25231,BKK OCD Accessory Box-S,bkk,Luccio,4.99,bassstoreitaly.com,famiglia,4.54,disponibile,+9.9,https://bassstoreitaly.com/it/bkk-fishing-hooks-ocd-accessory-box,2026-08-05
25220,BKK OCD Tackle System-A2,bkk,Luccio,24.99,pescapromo.it,famiglia,39.95,disponibile,-37.4,https://pescapromo.it/t/scatole-da-pesca/bkk-ocd-tackle-system-a2-loaded-m-incl-20xm-8xs-cassette,2026-08-05
25225,BKK OCD Tackle System-A2 Loaded,bkk,Luccio,39.00,pescapromo.it,famiglia,39.95,disponibile,-2.4,https://pescapromo.it/t/scatole-da-pesca/bkk-ocd-tackle-system-a2-loaded-m-incl-20xm-8xs-cassette,2026-08-05
23216,BKK Reefmaster NP,bkk,Mare,11.50,bassstoreitaly.com,famiglia,9.10,disponibile,+26.4,https://bassstoreitaly.com/it/bkk-fishing-hooks-reef-master-np,2026-08-05
23216,BKK Reefmaster NP,bkk,Mare,11.50,pescapromo.it,famiglia,9.50,esaurito,+21.1,https://pescapromo.it/t/ami-per-pesca-in-mare/bkk-sf-reefmaster-np-amo-lungo-da-pesca-di-mare,2026-08-05
23466,BKK Round Elite Classic,bkk,Siluro,4.10,pescapromo.it,famiglia,4.50,esaurito,-8.9,https://pescapromo.it/t/teste-piombate/bkk-round-elite-classic-bait-keeper-jighead-10g-3-pezzi,2026-08-05
26342,BKK Silent Chaser EWG,bkk,Luccio,6.50,pescapromo.it,famiglia,3.49,esaurito,+86.2,https://pescapromo.it/t/teste-piombate/bkk-silent-chaser-1x-ewg-round-head-jighead-1,2026-08-05
26236,BKK Siren,bkk,Spinning e Casting,4.95,bassstoreitaly.com,famiglia,4.77,esaurito,+3.8,https://bassstoreitaly.com/it/bkk-siren-worm-hook,2026-08-05
26236,BKK Siren,bkk,Spinning e Casting,4.95,pescapromo.it,famiglia,3.49,esaurito,+41.8,https://pescapromo.it/t/ami-per-predatori/ami-bkk-siren-worm-taglia-2-0-6-pezzi,2026-08-05
26235,BKK Siren #2/0,bkk,Spinning e Casting,4.95,pescapromo.it,probabile,3.49,esaurito,+41.8,https://pescapromo.it/t/ami-per-predatori/ami-bkk-siren-worm-taglia-2-0-6-pezzi,2026-08-05
23310,BKK Spear 21 SS,bkk,Mare,8.90,bassstoreitaly.com,esatto,8.20,disponibile,+8.5,https://bassstoreitaly.com/it/bkk-fishing-hooks-spear-21-ss,2026-08-05
23310,BKK Spear 21 SS,bkk,Mare,8.90,pescapromo.it,esatto,8.95,disponibile,-0.6,https://pescapromo.it/t/ancorette/ancoretta-bkk-assist-spear-21-ss,2026-08-05
23326,BKK Spear 21 UVO,bkk,Mare,8.95,bassstoreitaly.com,esatto,8.80,disponibile,+1.7,https://bassstoreitaly.com/it/bkk-fishing-hooks-spear-21-uvo,2026-08-05
23326,BKK Spear 21 UVO,bkk,Mare,8.95,pescapromo.it,esatto,9.95,esaurito,-10.1,https://pescapromo.it/t/ancorette/ancoretta-bkk-assist-spear-21-uvo,2026-08-05
23471,BKK Split Ring 41,bkk,Mare,4.00,bassstoreitaly.com,esatto,3.61,disponibile,+10.8,https://bassstoreitaly.com/it/bkk-fishing-hooks-split-ring-41,2026-08-05
23384,BKK Split Ring 51,bkk,Mare,7.00,bassstoreitaly.com,esatto,6.80,disponibile,+2.9,https://bassstoreitaly.com/it/bkk-fishing-hooks-split-ring-51,2026-08-05
23384,BKK Split Ring 51,bkk,Mare,7.00,pescapromo.it,esatto,5.95,esaurito,+17.6,https://pescapromo.it/t/girelle-da-pesca/bkk-split-ring-51,2026-08-05
26287,BKK Titan Diver,bkk,Luccio,8.90,bassstoreitaly.com,famiglia,9.10,disponibile,-2.2,https://bassstoreitaly.com/it/bkk-fishing-hooks-titan-diver-,2026-08-05
26287,BKK Titan Diver,bkk,Luccio,8.90,pescapromo.it,famiglia,7.95,esaurito,+11.9,https://pescapromo.it/t/ami-per-predatori/ami-bkk-titandiver-gold,2026-08-05
32533,BKK Trailer Hook,bkk,Luccio,4.99,bassstoreitaly.com,famiglia,4.40,disponibile,+13.4,https://bassstoreitaly.com/it/bkk-fishing-hooks-trailer-hook,2026-08-05
32533,BKK Trailer Hook,bkk,Luccio,4.99,pescapromo.it,famiglia,4.95,disponibile,+0.8,https://pescapromo.it/t/ami-per-predatori/bkk-trailer-hook-5pcs,2026-08-05
23342,BKK Trigger 21,bkk,Siluro,9.50,bassstoreitaly.com,esatto,9.50,disponibile,+0.0,https://bassstoreitaly.com/it/bkk-fishing-hooks-bb-trigger-21,2026-08-05
23342,BKK Trigger 21,bkk,Siluro,9.50,pescapromo.it,esatto,10.95,disponibile,-13.2,https://pescapromo.it/t/terminali-con-stingers/bkk-bb-trigger-21-stinger-rig,2026-08-05
23346,BKK Trigger 21 UVO,bkk,Siluro,11.90,pescapromo.it,esatto,11.95,disponibile,-0.4,https://pescapromo.it/t/terminali-con-stingers/bkk-bb-trigger-21-stinger-rig-uvo,2026-08-05
23360,BKK Trigger Lead,bkk,Siluro,4.80,bassstoreitaly.com,famiglia,3.33,disponibile,+44.1,https://bassstoreitaly.com/it/bkk-fishing-hooks-bb-trigger-lead,2026-08-05
27979,Favorite Alligator Casting,favorite,Luccio,245.00,bassstoreitaly.com,famiglia,234.99,disponibile,+4.3,https://bassstoreitaly.com/it/favorite-alligator-casting,2026-08-05
30789,Favorite Alligator Travel,favorite,Luccio,274.00,bassstoreitaly.com,famiglia,257.89,disponibile,+6.2,https://bassstoreitaly.com/it/favorite-alligator-travel-casting,2026-08-05
